alpha,gamma,qm_energy,energy_rel
75,165,-1142.565906933,7.097121142395081
75,180,-1142.565072376,7.620813170884194
75,195,-1142.56518124,7.552500031163101
75,210,-1142.563505677,8.603930893689444
75,225,-1142.566697599,6.600971111365205
75,240,-1142.56706771,6.368723127904902
75,255,-1142.567741137,5.946141624538107
75,270,-1142.568320733,5.582439918124146
75,285,-1142.571570125,3.54341719356893
75,300,-1142.572597289,2.8988625391687823
75,315,-1142.570898242,3.965029823013064
75,330,-1142.56897623,5.171109651135329
75,345,-1142.568122181,5.707033085110306
90,0,-1142.566929571,6.4554065936562735
90,15,-1142.568326002,5.579133573212707
90,30,-1142.569426946,4.888281304733955
90,45,-1142.570404063,4.27513159315105
90,60,-1142.568359631,5.558031073069102
90,75,-1142.564333015,8.084768852562373
90,90,-1142.558445497,11.779239385229795
90,105,-1142.556587455,12.94517746266705
90,120,-1142.554925196,13.988259945426536
90,135,-1142.556484515,13.009773239148018
90,150,-1142.559069947,11.38739139030234
90,165,-1142.561097442,10.115120030351736
90,180,-1142.564017079,8.283021536053125
90,195,-1142.564569827,7.93616719130967
90,210,-1142.562400171,9.297645858199992
90,225,-1142.563836535,8.396314520906213
90,240,-1142.564573829,7.93365590031128
90,255,-1142.565555988,7.317342288422997
90,270,-1142.567539964,6.0723794926267365
90,285,-1142.569724633,4.70148003301543
90,300,-1142.570746443,4.060285061798364
90,315,-1142.569008198,5.151049443547028
90,330,-1142.567918671,5.834737441775245
90,345,-1142.566631585,6.642395490436414
105,0,-1142.568149131,5.690121717627973
105,15,-1142.569582023,4.790969091512771
105,30,-1142.570785047,4.036060704293116
105,45,-1142.571494466,3.5908938970022675
105,60,-1142.568922002,5.2051382093008804
105,75,-1142.564697271,7.8561949343937325
105,90,-1142.559105707,11.364951668353488
105,105,-1142.556877996,12.762860370352648
105,120,-1142.555600585,13.564447269438094
105,135,-1142.552539949,15.485023905224972
105,150,-1142.557054649,12.65200902287949
105,165,-1142.562171549,9.441108220874808
105,180,-1142.565614187,7.280821892117692
105,195,-1142.565534802,7.330636694042172
105,210,-1142.563248414,8.765365741472813
105,225,-1142.561703416,9.734865891517213
105,240,-1142.565683871,7.237094554973074
105,255,-1142.566694025,6.6032138284982915
105,270,-1142.568831555,5.261894515711189
105,285,-1142.570972696,3.9183092680608596
105,300,-1142.571695864,3.464514839454985
105,315,-1142.569723248,4.702349133063486
105,330,-1142.569036784,5.133111471211165
105,345,-1142.56789097,5.85212006852659
120,0,-1142.568318587,5.583786552464852
120,15,-1142.569888065,4.598924982184894
120,30,-1142.571251491,3.7433628962722034
120,45,-1142.571748795,3.431300160558756
120,60,-1142.568818836,5.269875802742866
120,75,-1142.564349792,8.074241134114573
120,90,-1142.559336695,11.22000461953381
120,105,-1142.556275416,13.140984743478331
120,120,-1142.55208677,15.769397806356576
120,135,-1142.553261773,15.032072848784878
120,150,-1142.557478043,12.386325477408022
120,165,-1142.562828755,9.028705540931865
120,180,-1142.565953971,7.067604374023021
120,195,-1142.565574892,7.305479858179404
120,210,-1142.563312887,8.724908353817174
120,225,-1142.561561991,9.823611351866056
120,240,-1142.565891463,7.106828706549921
120,255,-1142.56712832,6.330689807420326
120,270,-1142.569560354,4.8045665840553005
120,285,-1142.571637909,3.500882123614043
120,300,-1142.571882766,3.3472321523396045
120,315,-1142.569569024,4.799126081061151
120,330,-1142.564603431,7.91508037886784
120,345,-1142.561970509,9.567262630150292
135,0,-1142.56796405,5.806261710811081
135,15,-1142.569684354,4.726755468109075
135,30,-1142.571296769,3.7149505439028614
135,45,-1142.571810637,3.3924937490292226
135,60,-1142.568383199,5.543241940981885
